Name,Ingredients
Aperol Spritz ,"['100 ml Aperol', '150 ml Prosecco', 'Top Soda Water', '100 ml Aperol', '150 ml Prosecco', 'Top Soda Water']"
Apple Berry Smoothie ,"['1 cup  Berries', '2  Apple', '1 cup  Berries', '2  Apple']"
Apple Cider Punch ,"['4 qt  Apple cider', '1 cup  Brown sugar', '6 oz frozen  Lemonade', '6 oz frozen  Orange juice', '6 whole  Cloves', '6 whole  Allspice', '1 tsp ground  Nutmeg', '3 sticks  Cinnamon', '4 qt  Apple cider', '1 cup  Brown sugar', '6 oz frozen  Lemonade', '6 oz frozen  Orange juice', '6 whole  Cloves', '6 whole  Allspice', '1 tsp ground  Nutmeg', '3 sticks  Cinnamon']"
Apple Grande ,"['3 oz  Tequila', '12 oz  Apple cider', '3 oz  Tequila', '12 oz  Apple cider']"
Apple Highball ,"['Chopped Lime', '1 shot Apple Schnapps', '1 shot Cognac', 'Top Ginger', 'Chopped Lime', '1 shot Apple Schnapps', '1 shot Cognac', 'Top Ginger']"
Apple Karate ,"['2 cups  Apple juice', '1 large  Carrot', '2 cups  Apple juice', '1 large  Carrot']"
Apple Pie with A Crust ,"['3 parts  Apple juice', '1 part  Malibu rum', '3 dashes  Cinnamon', '3 parts  Apple juice', '1 part  Malibu rum', '3 dashes  Cinnamon']"
Apple Slammer ,"['1 part  7-Up', '1 part  Apple schnapps', '1 part  7-Up', '1 part  Apple schnapps']"
Applecar ,"['1 oz  Applejack', '1 oz  Triple sec', '1 oz  Lemon juice', '1 oz  Applejack', '1 oz  Triple sec', '1 oz  Lemon juice']"
Applejack ,"['1 oz  Jack Daniels', '1/2 oz  Midori melon liqueur', '2 oz  Sour mix', '1 oz  Jack Daniels', '1/2 oz  Midori melon liqueur', '2 oz  Sour mix']"
Apricot Lady ,"['1 1/2 oz  Light rum', '1 oz  Apricot brandy', '1 tsp  Triple sec', '1/2 oz  Lemon juice', '1  Egg white', '1  Orange', '1 1/2 oz  Light rum', '1 oz  Apricot brandy', '1 tsp  Triple sec', '1/2 oz  Lemon juice', '1  Egg white', '1  Orange']"
Apricot punch ,"['1 qt  Apricot brandy', '4 fifth  Champagne', '1 fifth  Vodka', '4 L  7-Up', '1/2 gal  Orange juice', '1 qt  Apricot brandy', '4 fifth  Champagne', '1 fifth  Vodka', '4 L  7-Up', '1/2 gal  Orange juice']"
Aquamarine ,"['2 oz Hpnotiq', '1 oz Pineapple Juice', '1 oz Banana Liqueur', '2 oz Hpnotiq', '1 oz Pineapple Juice', '1 oz Banana Liqueur']"
Archbishop ,"['2 oz  Gin', '1 oz Green Ginger  Wine', '1 tsp  Benedictine', '1  Lime', '2 oz  Gin', '1 oz Green Ginger  Wine', '1 tsp  Benedictine', '1  Lime']"
Arctic Fish ,"['1/3 part  Vodka', '1/3 part  Grape soda', '1/3 part  Orange juice', 'lots  Ice', '1 dash  Candy', '1/3 part  Vodka', '1/3 part  Grape soda', '1/3 part  Orange juice', 'lots  Ice', '1 dash  Candy']"
Arctic Mouthwash ,"['5 oz blue  Maui', '5 oz  Mountain Dew', 'cubes Ice', '5 oz blue  Maui', '5 oz  Mountain Dew', 'cubes Ice']"
Arise My Love ,"['Chilled  Champagne', '1 tsp  Green Creme de Menthe', 'Chilled  Champagne', '1 tsp  Green Creme de Menthe']"
Arizona Antifreeze ,"['1/3 oz  Vodka', '1/3 oz  Midori melon liqueur', '1/3 oz  Sweet and sour', '1/3 oz  Vodka', '1/3 oz  Midori melon liqueur', '1/3 oz  Sweet and sour']"
Arizona Stingers ,"['2 shots  Absolut Vodka', '12 oz lemon  Iced tea', '2 shots  Absolut Vodka', '12 oz lemon  Iced tea']"
Arizona Twister ,"['1 shot  Vodka', '1 shot  Malibu rum', '1 shot  Gold tequila', '1 splash  Orange juice', '1 splash  Pineapple juice', '1 splash  Cream of coconut', '1 dash  Grenadine', 'crushed  Ice', '1 wedge  Pineapple', '1 shot  Vodka', '1 shot  Malibu rum', '1 shot  Gold tequila', '1 splash  Orange juice', '1 splash  Pineapple juice', '1 splash  Cream of coconut', '1 dash  Grenadine', 'crushed  Ice', '1 wedge  Pineapple']"
Army special ,"['30 ml  Vodka', '30 ml  Gin', '45 ml  Lime juice cordial', '1/2 glass crushed  Ice', '30 ml  Vodka', '30 ml  Gin', '45 ml  Lime juice cordial', '1/2 glass crushed  Ice']"
Arthur Tompkins ,"['2 oz  Gin', '1/2 oz  Grand Marnier', '2 tsp  Lemon juice', '1 twist of  Lemon peel', '2 oz  Gin', '1/2 oz  Grand Marnier', '2 tsp  Lemon juice', '1 twist of  Lemon peel']"
Artillery ,"['1 1/2 tsp  Sweet Vermouth', '1 1/2 oz  Gin', '2 dashes  Bitters', '1 1/2 tsp  Sweet Vermouth', '1 1/2 oz  Gin', '2 dashes  Bitters']"
Artillery Punch ,"['1 quart black  Tea', '1 quart  Rye whiskey', '1 fifth  Red wine', '1 pint Jamaican  Rum', '1/2 pint  Brandy', '1 1/2 oz  Benedictine', '1 pint  Orange juice', '1/2 pint  Lemon juice', '1 quart black  Tea', '1 quart  Rye whiskey', '1 fifth  Red wine', '1 pint Jamaican  Rum', '1/2 pint  Brandy', '1 1/2 oz  Benedictine', '1 pint  Orange juice', '1/2 pint  Lemon juice']"
