Number,Words
73,['IBA']
32,['ContemporaryClassic']
22,['Classic']
15,['NewEra']
7,['Alcoholic']
5,['Christmas']
4,"['StrongFlavor', 'Winter']"
3,"['Fruity', 'Brunch', 'Hangover', 'Halloween', 'Sweet', 'Citrus']"
2,"['Classy', 'Cold', 'Kids', 'Breakfast', 'USA', ' Colourful', 'Beach', 'Drunk', ' Summer', 'Summer', 'Sour', ' Sharp', 'Asia', 'Dark', 'Adult']"
1,"[' Spicy', 'Colourful', ' Blue', 'Nutty', 'Dairy', 'DateNight', 'Purple', 'Brazilian', 'DinnerParty', ' Frozen', 'Orange', 'Clear', 'Europe', 'simple', ' classic', ' refreshing', 'Green', 'Lazy', ' Fresh', ' Refreshing', 'Strong', 'Vegetarian', 'Vegan', 'Mild', ' Fruity', 'German', 'Expensive', 'Savory', 'Fresh', ' Nature', ' Shot', ' Bubbly', 'Passion', 'Calorific', 'Spanish']"
