Name,Tags
Apple Highball ,"['Classy', ' Spicy']"
Apricot Lady ,['Cold']
Autumn Garibaldi ,['Kids']
Aviation ,"['IBA', 'Classic']"
B-52 ,"['IBA', 'NewEra']"
Bacardi Cocktail ,"['IBA', 'Classic']"
Banana Daiquiri ,['Fruity']
Barracuda ,"['IBA', 'NewEra']"
Bellini ,"['ContemporaryClassic', 'IBA']"
Between The Sheets ,"['IBA', 'Classic']"
Black Russian ,"['IBA', 'ContemporaryClassic']"
Bloody Maria ,"['Breakfast', 'Brunch', 'Hangover']"
Bloody Mary ,"['IBA', 'ContemporaryClassic']"
Bloody Punch ,['Halloween']
Blue Hurricane ,"['Colourful', ' Blue']"
Blueberry Mojito ,['Fruity']
Bramble ,"['IBA', 'NewEra']"
Brandy Alexander ,"['Nutty', 'Dairy']"
Brooklyn ,"['Alcoholic', 'Sweet', 'DateNight', 'USA']"
Butterfly Effect ,"['Purple', ' Colourful']"
Caipirinha ,"['ContemporaryClassic', 'IBA']"
Casino ,['IBA']
Champagne Cocktail ,"['IBA', 'ContemporaryClassic']"
Clover Club ,"['IBA', 'Classic']"
Cosmopolitan ,"['IBA', 'ContemporaryClassic']"
Cuba Libre ,"['IBA', 'ContemporaryClassic']"
Daiquiri ,"['IBA', 'Classic', 'Beach']"
Dark and Stormy ,"['IBA', 'NewEra']"
Death in the Afternoon ,['Drunk']
Derby ,"['Classic', 'IBA']"
Dirty Martini ,"['IBA', 'NewEra']"
Dry Martini ,"['IBA', 'Classic', 'Christmas', 'Alcoholic']"
Elderflower Caipirinha ,['Brazilian']
Espresso Martini ,"['IBA', 'NewEra']"
Espresso Rumtini ,"['DinnerParty', 'StrongFlavor']"
Figgy Thyme ,"['Christmas', 'Sweet']"
French 75 ,"['IBA', 'ContemporaryClassic']"
French Connection ,"['IBA', 'ContemporaryClassic']"
French Martini ,"['NewEra', 'IBA']"
Frosé ,"['Cold', ' Frozen', ' Summer']"
Garibaldi Negroni ,['Orange']
Gin and Soda ,"['Clear', 'Alcoholic']"
Gin Basil Smash ,"['Europe', 'Summer']"
Gin Fizz ,"['IBA', 'Classic']"
Gin Lemon ,"['simple', ' classic', ' refreshing']"
Gin Smash ,"['Citrus', 'StrongFlavor']"
Gin Sour ,['Sour']
Godfather ,"['IBA', 'ContemporaryClassic']"
Godmother ,"['IBA', 'ContemporaryClassic']"
Golden dream ,"['IBA', 'ContemporaryClassic']"
Grasshopper ,"['IBA', 'ContemporaryClassic', 'Halloween']"
Halloween Punch ,['Halloween']
Harvey Wallbanger ,"['IBA', 'ContemporaryClassic']"
Hemingway Special ,"['IBA', 'ContemporaryClassic']"
Honey Bee ,['Sweet']
Horse's Neck ,"['IBA', 'ContemporaryClassic']"
Hot Toddy ,['Winter']
Irish Coffee ,"['IBA', 'ContemporaryClassic']"
Jack Rose Cocktail ,['Beach']
John Collins ,['IBA']
Kamikaze ,"['IBA', 'NewEra']"
Kir ,"['IBA', 'ContemporaryClassic']"
